City,State,helper,Text,Staid,tenTen,tenTwenty
New York,NY,a,aNY,202,420,
Honolulu,HI,a,aHI,177,316,555
Los Angeles,CA,a,aCA,171,278,473
San Francisco,CA,a,aCA,167,254,449
Queens,NY,a,aNY,158,328,691
Pearl City,HI,a,aHI,152,238,406
Newark,NJ,a,aNJ,139,187,348
Oxnard,CA,a,aCA,137,155,
Providence,RI,a,aRI,122,176,261
Long Beach,CA,a,aCA,120,201,299
Santa Clarita,CA,a,aCA,116,181,325
Boston,MA,a,aMA,110,182,331
Stamford,CT,a,aCT,110,189,351
New Orleans,LA,a,aLA,109,172,280
Washington,DC,a,aDC,107,170,290
Syracuse,NY,a,aNY,106,156,284
Alexandria,VA,a,aVA,102,168,327
Portland,ME,a,aME,102,147,221
Santa Rosa,CA,a,aCA,99,224,390
Tacoma,WA,a,aWA,98,154,234
Buffalo,NY,a,aNY,97,170,249
Philadelphia,PA,a,aPA,97,149,265
Chula Vista,CA,a,aCA,94,160,257
Gulfport,MS,a,aMS,94,120,198
Santa Ana,CA,a,aCA,93,136,244
Seattle,WA,a,aWA,93,159,300
San Jose,CA,a,aCA,91,137,239
Wilmington,DE,a,aDE,91,152,215
Jackson,MS,a,aMS,90,124,188
Miami,FL,a,aFL,89,148,263
San Diego,CA,a,aCA,89,138,252
Tallahassee,FL,a,aFL,89,122,219
Salt Lake City,UT,a,aUT,88,124,264
Bridgeport,CT,a,aCT,87,157,321
Worcester,MA,a,aMA,87,139,203
Corona,CA,a,aCA,86,126,206
Charleston,SC,a,aSC,85,124,256
Tucson,AZ,a,aAZ,85,150,246
Columbia,MD,a,aMD,84,161,328
Columbus,GA,a,aGA,84,129,195
Fort Lauderdale,FL,a,aFL,84,141,242
Killeen,TX,a,aTX,84,113,196
Knoxville,TN,a,aTN,84,125,249
Rochester,NY,a,aNY,84,121,188
Baton Rouge,LA,a,aLA,83,132,211
Savannah,GA,a,aGA,83,125,197
Yonkers,NY,a,aNY,83,168,329
