"City","State","5x10","10x10","10x20"
"Akron","OH","$52","$114",""
"Albuquerque","NM","$64","$101","$186"
"Alexandria","VA","$102","$168","$327"
"Arlington","TX","$50","$105","$166"
"Atlanta","GA","$80","$125","$219"
"Augusta","GA","$65","$87","$151"
"Aurora","CO","$47","$74","$128"
"Austin","TX","$64","$115","$192"
"Baltimore","MD","$68","$106","$187"
"Baton Rouge","LA","$83","$132","$211"
"Birmingham","AL","$66","$112","$215"
"Boise","ID","$57","$112",""
"Boston","MA","$110","$182","$331"
"Bridgeport","CT","$87","$157","$321"
"Buffalo","NY","$97","$170","$249"
"Chandler","AZ","$56","$106","$177"
"Charleston","SC","$85","$124","$256"
"Charlotte","NC","$58","$90","$170"
"Chattanooga","TN","$42","$77","$139"
"Chesapeake","VA","$62","$110","$207"
"Chicago","IL","$68","$118","$219"
"Chula Vista","CA","$94","$160","$257"
"Cincinnati","OH","$49","$92","$151"
"Clarksville","TN","$66","$99","$137"
"Cleveland","OH","$71","$106","$184"
"Colorado Springs","CO","$53","$86","$186"
"Columbia","MD","$84","$161","$328"
"Columbia","SC","$63","$101","$176"
"Columbus","GA","$84","$129","$195"
"Columbus","OH","$54","$84","$166"
"Corona","CA","$86","$126","$206"
"Corpus Christi","TX","$65","$119","$202"
"Dallas","TX","$62","$119","$213"
"Denton","TX","","$124","$237"
"Denver","CO","$55","$93","$161"
"Des Moines","IA","$64","$86","$144"
"Durham","NC","$70","$111","$205"
"El Paso","TX","$70","$107","$190"
"Fayetteville","NC","$61","$94","$176"
"Fort Lauderdale","FL","$84","$141","$242"
"Fort Wayne","IN","$60","$95","$157"
"Fort Worth","TX","$45","$83","$140"
"Frisco","TX","$40","$86","$150"
"Garland","TX","$44","$77","$165"
"Glendale","AZ","$73","$113","$181"
"Grand Prairie","TX","$42","$81","$140"
"Greensboro","NC","$56","$91","$186"
"Gulfport","MS","$94","$120","$198"
"Hartford","CT","$62","$90","$214"
"Henderson","NV","$65","$116","$182"
"Hialeah","FL","$68","$111","$210"
"Hollywood","FL","$69","$126","$224"
"Honolulu","HI","$177","$316","$555"
"Houston","TX","$48","$88","$167"
"Huntsville","AL","$51","$91","$176"
"Indianapolis","IN","$54","$98","$156"
"Jackson","MS","$90","$124","$188"
"Jacksonville","FL","$70","$110","$194"
"Joliet","IL","$56","$95","$141"
"Kansas City","MO","$71","$120","$186"
"Kent","WA","$77","$112","$224"
"Killeen","TX","$84","$113","$196"
"Knoxville","TN","$84","$125","$249"
"Lafayette","LA","$68","$109","$181"
"Lancaster","CA","$70","$121","$196"
"Las Vegas","NV","$71","$108","$198"
"Long Beach","CA","$120","$201","$299"
"Los Angeles","CA","$171","$278","$473"
"Louisville","KY","$57","$99","$178"
"Manchester","NH","$67","$132","$210"
"McKinney","TX","$40","$99","$150"
"Memphis","TN","$67","$117","$204"
"Meridian","ID","$38","$77","$140"
"Mesa","AZ","$60","$99","$186"
"Mesquite","TX","$58","$100","$171"
"Miami","FL","$89","$148","$263"
"Milwaukee","WI","$42","$75","$127"
"Minneapolis","MN","$57","$105","$185"
"Mobile","AL","$63","$98","$146"
"Montgomery","AL","$42","$87","$166"
"Nashua","NH","$64","$104","$173"
"Nashville","TN","$73","$117","$209"
"New Orleans","LA","$109","$172","$280"
"New York","NY","$202","$420",""
"Newark","NJ","$139","$187","$348"
"Newport News","VA","$62","$106","$172"
"Norfolk","VA","$71","$106","$170"
"Oklahoma City","OK","$48","$73","$125"
"Omaha","NE","$66","$96","$128"
"Orlando","FL","$68","$111","$198"
"Overland Park","KS","$61","$121","$209"
"Oxnard","CA","$137","$155",""
"Pearl City","HI","$152","$238","$406"
"Peoria","AZ","$60","$112","$211"
"Philadelphia","PA","$97","$149","$265"
"Phoenix","AZ","$77","$119","$206"
"Pittsburgh","PA","$58","$90","$169"
"Port Saint Lucie","FL","$55","$92","$165"
"Portland","ME","$102","$147","$221"
"Portland","OR","$77","$121","$203"
"Providence","RI","$122","$176","$261"
"Queens","NY","$158","$328","$691"
"Raleigh","NC","$41","$72","$136"
"Rancho Cucamonga","CA","$79","$119","$195"
"Richmond","VA","$70","$111","$183"
"Riverside","CA","$55","",""
"Rochester","NY","$84","$121","$188"
"Sacramento","CA","$80","$124","$237"
