State, Points
Washington,87,26 223,27 223,120 225,125 225,131 177,131 174,135 163,135 159,137 155,137 147,143 139,141 138,141 129,144 114,140 95,143 77,125 71,127 63,121 58,121 57,117 59,113 55,105 55,97 46,70 41,63 42,49 73,57 79,57 86,57 95,57 94,49 91,47 93,42 91,36 87,26
Oregon,177,133 225,133 235,140 235,147 224,173 219,185 227,195 223,265 52,266 47,257 47,249 45,239 59,129 65,124 75,127 95,146 113,143 127,146 137,144 146,144 161,139 171,137 175,135
California,51,266 55,297 50,315 47,321 61,338 61,348 62,360 99,402 106,417 106,440 119,455 131,468 130,472 137,479 141,494 161,495 190,517 218,549 283,543 283,537 278,537 280,529 284,513 286,507 293,500 281,484 282,481 153,360 152,265 52,267
Nevada,153,265 154,265 154,360 280,478 280,449 290,451 294,443 294,267 156,266
Idaho,224,26 223,120 226,125 228,138 232,138 237,144 230,160 228,167 228,169 223,174 218,187 226,192 228,197 225,201 224,265 366,266 368,183 360,177 350,182 339,181 323,185 317,175 309,169 307,162 298,143 290,150 285,148 283,138 286,137 285,132 289,110 273,103 259,86 254,79 256,74 247,62 247,27 225,26
Montana, 248,28 248,62 256,79 262,89 274,101 289,109 288,136 285,139 286,146 288,148 295,141 301,145 310,168 324,183 336,180 343,180 349,181 360,176 368,182 366,167 534,166 534,27 248,26
Wyoming,368,168 367,293 533,296 533,170 370,168
Utah,296,267 296,418 413,420 413,299 366,294 365,267
Arizona,296,423 293,450 282,452 282,476 293,499 285,513 280,533 285,536 285,544 279,549 279,553 366,585 415,586 414,424 298,423
Colorado, 416,300 416,420 583,419 582,299 416,298
New Mexico, 417,422 416,580 435,583 435,574 484,573 488,569 558,566 559,424 418,423
North Dakota,    536,27 536,132 713,134 713,122 709,113 706,76 700,59 697,28 538,27
South Dakota ,   536,135 536,233 668,233 679,239 685,238 700,238 716,252 713,242 716,230 713,216 715,216 716,156 708,146 713,137 539,135
Nebraska  ,  534,233 534,293 582,295 584,327 743,327 717,255 700,241 681,241 667,236 536,237
Kansas , 583,329 584,417 760,420 762,366 745,354 752,336 742,329 584,329
Oklahoma,    559,422 560,435 631,435 631,490 639,499 648,499 651,503 670,508 679,513 685,507 703,515 723,515 737,514 747,510 763,520 760,423 561,422
Texas   ,561,439 628,439 628,494 637,500 647,500 651,506 679,514 686,510 698,516 732,516 748,513 766,524 775,523 775,556 775,566 779,575 785,589 784,603 781,613 783,617 782,620 776,626 779,630 764,637 755,637 754,642 726,661 719,661 717,667 702,671 691,703 699,728 694,733 689,733 673,729 669,725 665,725 653,719 645,704 642,687 636,682 628,673 616,647 597,630 576,625 567,628 556,649 526,631 519,619 514,607 505,598 482,576 486,573 493,571 560,568 561,441
Minnesota,   699,19 715,133 710,144 718,156 716,213 843,216 839,207 826,190 816,182 802,177 805,151 801,147 816,130 816,109 853,73 880,64 868,55 853,60 850,52 839,61 828,60 818,51 814,56 810,47 805,47 791,39 788,42 782,43 776,41 768,39 759,34 754,16 750,13 746,26 703,26
Iowa    ,717,217 715,243 738,309 830,310 836,316 836,307 842,308 846,302 846,294 845,290 845,282 862,282 862,276 865,274 866,264 862,261 858,253 853,246 845,241 842,233 844,223 840,221 716,219
Missouri,    740,310 745,326 753,334 747,354 764,367 762,436 866,436 869,441 863,450 879,452 879,446 879,442 882,439 880,433 887,435 891,424 889,421 882,412 886,410 882,401 873,393 852,368 853,353 839,337 835,321 828,313 744,313
Arkansas ,   762,439 766,521 773,521 776,536 844,536 843,532 841,522 843,521 843,510 850,507 850,499 856,497 878,453 862,449 866,440 764,438
